"filename", "language", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\XLR8\Documents\node projects\wires\src\api\global_node_registry.ts", "TypeScript", 26, 0, 2, 5, 33
"c:\Users\XLR8\Documents\node projects\wires\src\api\node_explorer.ts", "TypeScript", 40, 0, 16, 6, 62
"c:\Users\XLR8\Documents\node projects\wires\src\api\widgets.ts", "TypeScript", 101, 0, 1, 16, 118
"c:\Users\XLR8\Documents\node projects\wires\src\api\wire_node.ts", "TypeScript", 12, 0, 1, 0, 13
"c:\Users\XLR8\Documents\node projects\wires\src\interfaces\node.ts", "TypeScript", 2, 0, 0, 2, 4
"c:\Users\XLR8\Documents\node projects\wires\src\interfaces\widget.ts", "TypeScript", 4, 0, 0, 1, 5
"c:\Users\XLR8\Documents\node projects\wires\src\internal\internal_nodes.ts", "TypeScript", 243, 0, 0, 11, 254
"c:\Users\XLR8\Documents\node projects\wires\src\main.ts", "TypeScript", 75, 0, 21, 13, 109
"c:\Users\XLR8\Documents\node projects\wires\src\styles\main.css", "CSS", 0, 58, 5, 12, 75
"c:\Users\XLR8\Documents\node projects\wires\src\tags\tags.ts", "TypeScript", -88, 0, 0, -9, -97
"Total", "-", 415, 58, 46, 57, 576
