"filename", "language", "TypeScript", "CSS", "comment", "blank", "total"
"c:\Users\XLR8\Documents\node projects\wires\src\api\decorators.ts", "TypeScript", 11, 0, 0, 0, 11
"c:\Users\XLR8\Documents\node projects\wires\src\api\draggable_ui_element.ts", "TypeScript", 34, 0, 5, 7, 46
"c:\Users\XLR8\Documents\node projects\wires\src\api\global_node_registry.ts", "TypeScript", 44, 0, 2, 10, 56
"c:\Users\XLR8\Documents\node projects\wires\src\api\node_explorer.ts", "TypeScript", 105, 0, 17, 12, 134
"c:\Users\XLR8\Documents\node projects\wires\src\api\node_field_controller.ts", "TypeScript", 10, 0, 0, 3, 13
"c:\Users\XLR8\Documents\node projects\wires\src\api\widgets.ts", "TypeScript", 215, 0, 1, 32, 248
"c:\Users\XLR8\Documents\node projects\wires\src\api\wire_node.ts", "TypeScript", 69, 0, 1, 12, 82
"c:\Users\XLR8\Documents\node projects\wires\src\interfaces\node.ts", "TypeScript", 26, 0, 3, 7, 36
"c:\Users\XLR8\Documents\node projects\wires\src\interfaces\widget.ts", "TypeScript", 26, 0, 0, 7, 33
"c:\Users\XLR8\Documents\node projects\wires\src\internal\internal_nodes.ts", "TypeScript", 243, 0, 0, 11, 254
"c:\Users\XLR8\Documents\node projects\wires\src\main.ts", "TypeScript", 106, 0, 22, 20, 148
"c:\Users\XLR8\Documents\node projects\wires\src\styles\main.css", "CSS", 0, 189, 9, 35, 233
"Total", "-", 889, 189, 60, 156, 1294
